transaction_id,customer_id,product_id,shop_id,quantity,actual_price,transaction_date,payment_method,transaction_type,unit_price,total_amount,transaction_time,city,district
102,2,161,22,8,,,CARD,SALE,186.43,1491.44,2023-08-12,Bhaktapur,Kathmandu
103,3,151,40,7,,,CASH,SALE,285.52,1998.64,2023-12-07,Biratnagar,Bhaktapur
104,2,146,24,7,,,UPI,SALE,487.39,3411.73,2023-12-31,Bhaktapur,Morang
105,2,16,10,10,,,UPI,SALE,80.66,806.6,2023-04-27,Bhaktapur,Kaski
106,5,111,43,10,,,CARD,SALE,323.89,3238.9,2023-04-24,Kathmandu,Bhaktapur
107,2,84,45,4,,,UPI,SALE,34.24,136.96,2023-08-02,Bhaktapur,Morang
108,1,12,20,1,,,CARD,SALE,349.12,349.12,2023-06-03,Pokhara,Kathmandu
109,4,187,1,1,,,CARD,SALE,440.2,440.2,2023-04-05,Lalitpur,Bhaktapur
110,2,172,3,10,,,CASH,SALE,510.92,5109.2,2023-10-23,Bhaktapur,Lalitpur
111,4,105,33,6,,,UPI,SALE,275.59,1653.54,2023-01-10,Lalitpur,Kaski
112,5,92,28,10,,,CASH,SALE,166.52,1665.2,2023-03-25,Kathmandu,Morang
113,2,90,39,1,,,UPI,SALE,238.93,238.93,2023-02-02,Bhaktapur,Kathmandu
114,3,32,31,10,,,CASH,SALE,310.27,3102.7,2023-04-15,Biratnagar,Kaski
115,1,122,27,1,,,UPI,SALE,237.18,237.18,2023-11-16,Pokhara,Morang
116,4,85,18,2,,,CASH,SALE,343.64,687.28,2023-07-21,Lalitpur,Morang
117,2,170,26,6,,,UPI,SALE,457.28,2743.68,2023-08-22,Bhaktapur,Bhaktapur
118,2,173,38,2,,,CARD,SALE,247.76,495.52,2023-02-04,Bhaktapur,Kathmandu
119,4,85,35,6,,,CARD,SALE,318.94,1913.64,2023-02-13,Lalitpur,Morang
120,5,80,17,6,,,UPI,SALE,272.04,1632.24,2023-04-25,Kathmandu,Morang
121,5,126,7,9,,,CARD,SALE,169.53,1525.77,2023-12-08,Kathmandu,Lalitpur
122,1,23,5,7,,,UPI,SALE,79.33,555.31,2023-03-09,Pokhara,Kathmandu
123,3,38,6,2,,,CARD,SALE,265.16,530.32,2023-02-22,Biratnagar,Kathmandu
124,1,84,21,1,,,CARD,SALE,36.62,36.62,2023-09-19,Pokhara,Morang
125,2,105,10,6,,,CARD,SALE,251.46,1508.76,2023-09-16,Bhaktapur,Kaski
126,4,97,1,8,,,CASH,SALE,390.58,3124.64,2023-09-13,Lalitpur,Bhaktapur
127,1,138,20,3,,,CARD,SALE,179.21,537.63,2023-08-02,Pokhara,Kathmandu
128,4,104,19,5,,,CASH,SALE,364.42,1822.1,2023-05-04,Lalitpur,Kaski
129,2,44,24,9,,,CARD,SALE,202.64,1823.76,2023-07-12,Bhaktapur,Morang
130,3,148,40,2,,,CARD,SALE,36.17,72.34,2023-10-18,Biratnagar,Bhaktapur
131,5,81,12,8,,,CASH,SALE,190.49,1523.92,2023-07-21,Kathmandu,Morang
132,5,173,11,9,,,UPI,SALE,244.67,2202.03,2023-12-14,Kathmandu,Kaski
133,5,115,7,1,,,UPI,SALE,438.21,438.21,2023-10-07,Kathmandu,Lalitpur
134,2,101,41,9,,,CARD,SALE,215.2,1936.8,2023-04-23,Bhaktapur,Bhaktapur
135,5,168,23,7,,,CARD,SALE,391.54,2740.78,2023-11-16,Kathmandu,Bhaktapur
136,5,78,11,2,,,CASH,SALE,333.75,667.5,2023-04-16,Kathmandu,Kaski
137,3,19,16,6,,,UPI,SALE,102.65,615.9,2023-10-09,Biratnagar,Morang
138,4,11,46,7,,,CASH,SALE,144.16,1009.12,2023-12-25,Lalitpur,Kathmandu
139,3,170,30,8,,,CASH,SALE,415.49,3323.92,2023-11-21,Biratnagar,Kathmandu
140,1,191,8,7,,,CARD,SALE,72.96,510.72,2023-06-04,Pokhara,Kaski
141,1,55,20,4,,,CARD,SALE,244.62,978.48,2023-05-11,Pokhara,Kathmandu
142,5,44,43,8,,,UPI,SALE,180.26,1442.08,2023-05-19,Kathmandu,Bhaktapur
143,4,50,14,5,,,CASH,SALE,54.72,273.6,2023-02-02,Lalitpur,Morang
144,3,56,40,8,,,UPI,SALE,114.38,915.04,2023-02-08,Biratnagar,Bhaktapur
145,5,106,23,2,,,CARD,SALE,531.98,1063.96,2023-11-09,Kathmandu,Bhaktapur
146,2,50,3,2,,,CARD,SALE,49.89,99.78,2023-02-08,Bhaktapur,Lalitpur
147,2,64,3,4,,,CASH,SALE,117.26,469.04,2023-06-01,Bhaktapur,Lalitpur
148,4,91,35,5,,,UPI,SALE,39.77,198.85,2023-09-25,Lalitpur,Morang
149,2,149,22,1,,,UPI,SALE,29.73,29.73,2023-07-07,Bhaktapur,Kathmandu
150,2,63,41,9,,,CASH,SALE,438.22,3943.98,2023-10-15,Bhaktapur,Bhaktapur
151,5,188,23,8,,,UPI,SALE,224.39,1795.12,2023-07-17,Kathmandu,Bhaktapur
152,1,21,21,9,,,CASH,SALE,127.0,1143.0,2023-12-16,Pokhara,Morang
153,4,1,32,3,,,CARD,SALE,108.1,324.3,2023-03-20,Lalitpur,Morang
154,1,143,8,2,,,CARD,SALE,303.07,606.14,2023-07-24,Pokhara,Kaski
155,2,35,10,4,,,CARD,SALE,448.31,1793.24,2023-08-26,Bhaktapur,Kaski
156,4,173,33,10,,,CASH,SALE,243.26,2432.6,2023-10-14,Lalitpur,Kaski
157,5,179,17,8,,,CASH,SALE,101.52,812.16,2023-12-20,Kathmandu,Morang
158,4,174,37,10,,,UPI,SALE,391.28,3912.8,2023-03-02,Lalitpur,Kathmandu
159,1,103,4,3,,,CARD,SALE,115.02,345.06,2023-02-19,Pokhara,Lalitpur
160,3,193,34,7,,,CASH,SALE,60.52,423.64,2023-04-17,Biratnagar,Kaski
161,4,123,19,3,,,CASH,SALE,97.53,292.59,2023-07-02,Lalitpur,Kaski
162,2,126,38,3,,,UPI,SALE,186.23,558.69,2023-09-10,Bhaktapur,Kathmandu
163,1,79,4,6,,,CARD,SALE,324.45,1946.7,2023-12-13,Pokhara,Lalitpur
164,3,23,29,3,,,CARD,SALE,88.54,265.62,2023-02-06,Biratnagar,Lalitpur
165,3,137,16,7,,,UPI,SALE,389.71,2727.97,2023-02-12,Biratnagar,Morang
166,2,45,24,5,,,CASH,SALE,358.54,1792.7,2023-11-27,Bhaktapur,Morang
167,3,150,29,8,,,CARD,SALE,306.73,2453.84,2023-07-26,Biratnagar,Lalitpur
168,2,184,39,1,,,CASH,SALE,465.42,465.42,2023-10-17,Bhaktapur,Kathmandu
169,3,95,50,1,,,CASH,SALE,33.04,33.04,2023-07-20,Biratnagar,Kaski
170,1,4,20,6,,,CASH,SALE,388.59,2331.54,2023-02-12,Pokhara,Kathmandu
171,5,27,49,10,,,CARD,SALE,125.97,1259.7,2023-01-17,Kathmandu,Morang
172,3,91,34,5,,,UPI,SALE,40.05,200.25,2023-10-26,Biratnagar,Kaski
173,3,103,2,9,,,UPI,SALE,135.16,1216.44,2023-01-28,Biratnagar,Kathmandu
174,2,172,22,7,,,CASH,SALE,500.81,3505.67,2023-04-02,Bhaktapur,Kathmandu
175,2,135,36,8,,,CASH,SALE,47.64,381.12,2023-02-01,Bhaktapur,Kaski
176,3,65,29,8,,,CASH,SALE,131.53,1052.24,2023-03-12,Biratnagar,Lalitpur
177,3,99,34,6,,,CARD,SALE,179.42,1076.52,2023-05-11,Biratnagar,Kaski
178,3,164,29,6,,,CASH,SALE,335.32,2011.92,2023-07-24,Biratnagar,Lalitpur
179,2,182,36,7,,,CARD,SALE,352.33,2466.31,2023-01-06,Bhaktapur,Kaski
180,2,90,22,1,,,CASH,SALE,247.53,247.53,2023-04-22,Bhaktapur,Kathmandu
181,4,41,32,3,,,CARD,SALE,106.11,318.33,2023-04-07,Lalitpur,Morang
182,1,153,21,1,,,CASH,SALE,191.56,191.56,2023-08-28,Pokhara,Morang
183,4,69,32,3,,,UPI,SALE,211.7,635.1,2023-07-26,Lalitpur,Morang
184,3,118,50,5,,,CASH,SALE,322.38,1611.9,2023-07-25,Biratnagar,Kaski
185,3,192,48,2,,,CARD,SALE,260.83,521.66,2023-03-10,Biratnagar,Lalitpur
186,3,147,34,5,,,UPI,SALE,262.37,1311.85,2023-12-15,Biratnagar,Kaski
187,2,175,26,6,,,CARD,SALE,483.9,2903.4,2023-04-25,Bhaktapur,Bhaktapur
188,2,172,39,8,,,CASH,SALE,454.02,3632.16,2023-02-20,Bhaktapur,Kathmandu
189,5,166,49,1,,,UPI,SALE,299.85,299.85,2023-05-18,Kathmandu,Morang
190,5,159,13,4,,,CARD,SALE,45.58,182.32,2023-07-20,Kathmandu,Morang
191,2,10,41,8,,,CASH,SALE,374.42,2995.36,2023-05-02,Bhaktapur,Bhaktapur
192,3,141,34,5,,,CASH,SALE,320.97,1604.85,2023-12-09,Biratnagar,Kaski
193,5,21,49,2,,,CARD,SALE,153.1,306.2,2023-06-24,Kathmandu,Morang
194,2,27,45,7,,,CASH,SALE,111.19,778.33,2023-07-04,Bhaktapur,Morang
195,3,143,16,6,,,CARD,SALE,301.88,1811.28,2023-01-10,Biratnagar,Morang
196,5,47,13,10,,,UPI,SALE,81.53,815.3,2023-01-31,Kathmandu,Morang
197,5,133,13,1,,,CASH,SALE,92.11,92.11,2023-03-29,Kathmandu,Morang
198,2,22,38,3,,,CASH,SALE,21.8,65.4,2023-02-20,Bhaktapur,Kathmandu
199,1,105,21,5,,,UPI,SALE,281.08,1405.4,2023-10-29,Pokhara,Morang
200,3,13,44,4,,,CARD,SALE,138.88,555.52,2023-11-25,Biratnagar,Kathmandu
201,2,120,9,3,,,CARD,SALE,224.8,674.4,2023-04-11,Bhaktapur,Bhaktapur
202,4,187,35,10,,,CARD,SALE,400.03,4000.3,2023-05-24,Lalitpur,Morang
203,5,175,28,10,,,CARD,SALE,460.48,4604.8,2023-06-10,Kathmandu,Morang
204,2,196,42,5,,,CARD,SALE,147.79,738.95,2023-10-09,Bhaktapur,Kathmandu
205,1,131,8,4,,,CARD,SALE,398.1,1592.4,2023-05-19,Pokhara,Kaski
206,4,115,37,9,,,UPI,SALE,441.72,3975.48,2023-03-16,Lalitpur,Kathmandu
207,5,125,11,4,,,CARD,SALE,100.34,401.36,2023-12-22,Kathmandu,Kaski
208,5,24,49,3,,,CARD,SALE,448.06,1344.18,2023-01-25,Kathmandu,Morang
209,2,119,26,4,,,CARD,SALE,280.57,1122.28,2023-09-12,Bhaktapur,Bhaktapur
210,2,35,9,6,,,CARD,SALE,437.87,2627.22,2023-12-04,Bhaktapur,Bhaktapur
211,4,108,18,1,,,UPI,SALE,335.1,335.1,2023-12-26,Lalitpur,Morang
212,5,171,11,1,,,CARD,SALE,238.64,238.64,2023-01-04,Kathmandu,Kaski
213,2,27,39,2,,,UPI,SALE,124.54,249.08,2023-09-09,Bhaktapur,Kathmandu
214,2,188,39,8,,,CARD,SALE,240.92,1927.36,2023-02-17,Bhaktapur,Kathmandu
215,3,111,31,2,,,CASH,SALE,324.33,648.66,2023-12-27,Biratnagar,Kaski
216,1,154,20,2,,,UPI,SALE,478.25,956.5,2023-02-28,Pokhara,Kathmandu
217,4,180,35,9,,,CARD,SALE,57.48,517.32,2023-07-22,Lalitpur,Morang
218,2,34,22,7,,,CASH,SALE,117.14,819.98,2023-07-04,Bhaktapur,Kathmandu
219,3,94,44,10,,,UPI,SALE,209.88,2098.8,2023-07-11,Biratnagar,Kathmandu
220,1,27,27,5,,,UPI,SALE,126.06,630.3,2023-09-07,Pokhara,Morang
221,3,151,16,5,,,CASH,SALE,333.17,1665.85,2023-02-12,Biratnagar,Morang
222,5,68,43,2,,,CARD,SALE,75.12,150.24,2023-11-15,Kathmandu,Bhaktapur
223,4,164,19,1,,,CARD,SALE,331.28,331.28,2023-06-24,Lalitpur,Kaski
224,2,125,38,1,,,CASH,SALE,97.61,97.61,2023-01-03,Bhaktapur,Kathmandu
225,3,97,29,10,,,UPI,SALE,340.41,3404.1,2023-08-26,Biratnagar,Lalitpur
226,4,28,18,3,,,UPI,SALE,448.7,1346.1,2023-01-03,Lalitpur,Morang
227,1,170,27,10,,,CASH,SALE,452.12,4521.2,2023-03-26,Pokhara,Morang
228,4,187,14,7,,,CARD,SALE,435.15,3046.05,2023-06-07,Lalitpur,Morang
229,2,25,24,6,,,UPI,SALE,119.15,714.9,2023-10-15,Bhaktapur,Morang
230,2,62,36,1,,,CASH,SALE,302.51,302.51,2023-05-24,Bhaktapur,Kaski
231,4,188,14,10,,,CARD,SALE,261.84,2618.4,2023-03-19,Lalitpur,Morang
232,3,181,48,10,,,CASH,SALE,237.03,2370.3,2023-08-02,Biratnagar,Lalitpur
233,2,159,22,2,,,CASH,SALE,46.69,93.38,2023-01-20,Bhaktapur,Kathmandu
234,2,59,42,5,,,CARD,SALE,265.21,1326.05,2023-10-02,Bhaktapur,Kathmandu
235,4,152,1,8,,,CARD,SALE,474.12,3792.96,2023-06-18,Lalitpur,Bhaktapur
236,2,137,39,3,,,UPI,SALE,408.56,1225.68,2023-07-17,Bhaktapur,Kathmandu
237,3,72,44,10,,,UPI,SALE,152.59,1525.9,2023-06-17,Biratnagar,Kathmandu
238,1,101,27,4,,,UPI,SALE,245.08,980.32,2023-08-04,Pokhara,Morang
239,3,195,40,10,,,CARD,SALE,165.11,1651.1,2023-02-25,Biratnagar,Bhaktapur
240,4,81,33,10,,,UPI,SALE,211.42,2114.2,2023-04-05,Lalitpur,Kaski
241,3,67,16,5,,,CARD,SALE,321.71,1608.55,2023-09-17,Biratnagar,Morang
242,4,122,33,5,,,CASH,SALE,272.83,1364.15,2023-05-31,Lalitpur,Kaski
243,2,194,38,2,,,CASH,SALE,126.03,252.06,2023-03-31,Bhaktapur,Kathmandu
244,1,166,21,2,,,UPI,SALE,327.15,654.3,2023-12-21,Pokhara,Morang
245,5,133,11,10,,,UPI,SALE,93.67,936.7,2023-10-28,Kathmandu,Kaski
246,2,18,22,8,,,CARD,SALE,11.55,92.4,2023-05-25,Bhaktapur,Kathmandu
247,4,85,37,4,,,CARD,SALE,341.85,1367.4,2023-06-12,Lalitpur,Kathmandu
248,3,185,44,4,,,CASH,SALE,266.74,1066.96,2023-08-05,Biratnagar,Kathmandu
249,4,40,19,4,,,CARD,SALE,288.79,1155.16,2023-08-31,Lalitpur,Kaski
250,5,168,49,1,,,CARD,SALE,323.99,323.99,2023-05-26,Kathmandu,Morang
251,1,21,4,3,,,UPI,SALE,153.12,459.36,2023-05-14,Pokhara,Lalitpur
252,4,169,32,8,,,CASH,SALE,211.72,1693.76,2023-01-15,Lalitpur,Morang
253,5,71,12,5,,,UPI,SALE,408.98,2044.9,2023-11-25,Kathmandu,Morang
254,4,134,32,2,,,CASH,SALE,464.37,928.74,2023-07-14,Lalitpur,Morang
255,1,106,27,9,,,UPI,SALE,483.59,4352.31,2023-05-28,Pokhara,Morang
256,1,177,8,5,,,CASH,SALE,330.99,1654.95,2023-11-17,Pokhara,Kaski
257,4,193,32,10,,,UPI,SALE,62.67,626.7,2023-04-08,Lalitpur,Morang
258,5,90,7,3,,,UPI,SALE,236.16,708.48,2023-10-19,Kathmandu,Lalitpur
259,2,174,42,2,,,CASH,SALE,362.79,725.58,2023-08-30,Bhaktapur,Kathmandu
260,4,15,32,8,,,UPI,SALE,160.57,1284.56,2023-07-16,Lalitpur,Morang
261,2,7,22,8,,,UPI,SALE,255.89,2047.12,2023-01-24,Bhaktapur,Kathmandu
262,4,152,14,9,,,CARD,SALE,477.22,4294.98,2023-11-09,Lalitpur,Morang
263,4,143,35,1,,,UPI,SALE,338.12,338.12,2023-08-01,Lalitpur,Morang
264,2,78,39,9,,,CASH,SALE,327.97,2951.73,2023-06-14,Bhaktapur,Kathmandu
265,5,65,49,1,,,CARD,SALE,153.81,153.81,2023-01-29,Kathmandu,Morang
266,3,193,30,7,,,CASH,SALE,66.81,467.67,2023-05-12,Biratnagar,Kathmandu
267,2,87,39,10,,,UPI,SALE,62.08,620.8,2023-09-21,Bhaktapur,Kathmandu
268,4,120,19,6,,,UPI,SALE,236.7,1420.2,2023-08-12,Lalitpur,Kaski
269,2,120,45,5,,,CASH,SALE,207.99,1039.95,2023-05-02,Bhaktapur,Morang
270,4,134,19,6,,,CASH,SALE,442.95,2657.7,2023-01-14,Lalitpur,Kaski
271,5,183,49,6,,,CASH,SALE,344.48,2066.88,2023-03-21,Kathmandu,Morang
272,2,49,38,7,,,CARD,SALE,56.43,395.01,2023-01-15,Bhaktapur,Kathmandu
273,1,36,4,10,,,UPI,SALE,330.63,3306.3,2023-04-29,Pokhara,Lalitpur
274,1,61,27,7,,,UPI,SALE,415.4,2907.8,2023-10-14,Pokhara,Morang
275,2,190,36,9,,,CARD,SALE,281.76,2535.84,2023-04-11,Bhaktapur,Kaski
276,4,100,35,8,,,CASH,SALE,199.4,1595.2,2023-09-03,Lalitpur,Morang
277,3,3,34,8,,,UPI,SALE,263.98,2111.84,2023-11-20,Biratnagar,Kaski
278,3,100,34,4,,,CARD,SALE,195.66,782.64,2023-08-28,Biratnagar,Kaski
279,4,76,33,3,,,UPI,SALE,205.6,616.8,2023-06-12,Lalitpur,Kaski
280,5,154,11,1,,,CASH,SALE,474.42,474.42,2023-06-02,Kathmandu,Kaski
281,5,179,15,3,,,CARD,SALE,104.0,312.0,2023-05-13,Kathmandu,Bhaktapur
282,1,168,4,9,,,UPI,SALE,381.47,3433.23,2023-11-23,Pokhara,Lalitpur
